ID	Weight_before	Weight_after	difference	Littersize	Partner	Weight1_P	Weight2_P	Dom1_P	Dom1	Dom2_P	Dom2	Treatment	Stress1M	Stress2M	Stress1F	Stress2F
3352_(0717)	15.6	22.7	7.1	5	3375	20.5	21.6	0.43931	4.75	0.28415	3.00	C	40.005	209.181	72.156	158.445
6EAB790	19.3	23.6	4.3	4	845	19.8	27.3	0.34637	4.25	0.04324	0.50	SO	155.085	134.19	71.421	176.715
71CB389	23.0	17.4	-5.6	0.0	3399	18.1	17.3	0.34225	4.25	0.21557	2.25	PT	61.341	224.7	52.584	NA
71CB437	19.0	17.4	-1.6	0.0	4941	18.9	20.4	0.053892216	0.00	0.043478261	0.00	SO	NA	387.429	NA	NA
71CCE25	20.2	24.3	4.1	5	767	26.2	24.4	0.14516129	1.25	0.55026455	5.00	AP	124.677	222.285	49.56	90.447
71CE1AC	17.5	16.6	-0.9	0.0	817	35.1	34.9	0.31579	3.75	0.66477	5.75	SO	35.952	64.89	76.692	19.488
71CF2B1	17.5	23.1	5.6	4	4973	20.7	20.0	0.154285714	1.25	0.141414141	1.00	SO	141.96	127.89	98.343	26.817
71CFD7D	17.3	23.2	5.9	6	4816	25.8	20.3	0.61818	6.00	0.58659	5.75	AP	73.626	67.557	NA	NA
71CFOA0	20.9	21.6	0.7	0.0	4874	24.5	24.7	0.55152	6.00	0.50761	5.50	PT	168.714	136.353	25.263	15.33
A3379	15.5	18.4	2.9	3.0	71ce249	23.8	23.3	0.089820359	0.75	0.135869565	3.25	SO	NA	NA	51.996	37.191
