Mother	Treatment	Weight	Littersize	Weight_before	Weight_after	difference	Partner	Weight1_P	Weight2_P	Dom1_P	Dom2_P	Dom1	Dom2
4641	AP	2.83	5	22	28.9	6.9	6735206	21.1	21.3	0.151832461	0.237569061	1.25	2.25
4641	AP	2.74	5	22	28.9	6.9	6735206	21.1	21.3	0.151832461	0.237569061	1.25	2.25
4641	AP	2.41	5	22	28.9	6.9	6735206	21.1	21.3	0.151832461	0.237569061	1.25	2.25
4641	AP	2.56	5	22	28.9	6.9	6735206	21.1	21.3	0.151832461	0.237569061	1.25	2.25
4641	AP	2.56	5	22	28.9	6.9	6735206	21.1	21.3	0.151832461	0.237569061	1.25	2.25
4654	AP	2.96	4	16	22.8	6.8	4945	20.8	19.6	0.28729	0.22599	3.75	3.5
4654	AP	2.9	4	16	22.8	6.8	4945	20.8	19.6	0.28729	0.22599	3.75	3.5
4654	AP	3.02	4	16	22.8	6.8	4945	20.8	19.6	0.28729	0.22599	3.75	3.5
4654	AP	2.88	4	16	22.8	6.8	4945	20.8	19.6	0.28729	0.22599	3.75	3.5
4666	C	1.79	5	18.8	23.3	4.5	NA	NA	NA	NA	NA	NA	NA
4666	C	2.01	5	18.8	23.3	4.5	NA	NA	NA	NA	NA	NA	NA
4666	C	1.7	5	18.8	23.3	4.5	NA	NA	NA	NA	NA	NA	NA
4666	C	1.99	5	18.8	23.3	4.5	NA	NA	NA	NA	NA	NA	NA
4666	C	1.64	5	18.8	23.3	4.5	NA	NA	NA	NA	NA	NA	NA
4679	AP	2.66	5	15.9	22.9	7	833	17.4	19.7	0.31056	0.04023	3.75	0.5
4679	AP	2.71	5	15.9	22.9	7	833	17.4	19.7	0.31056	0.04023	3.75	0.5
4679	AP	2.86	5	15.9	22.9	7	833	17.4	19.7	0.31056	0.04023	3.75	0.5
4679	AP	2.98	5	15.9	22.9	7	833	17.4	19.7	0.31056	0.04023	3.75	0.5
4679	AP	2.88	5	15.9	22.9	7	833	17.4	19.7	0.31056	0.04023	3.75	0.5
4689	APC	1.95	5	15.9	20	4.1	71cd84b	20.7	22.4	0.47159	0.22034	4.75	2.75
4689	APC	1.84	5	15.9	20	4.1	71cd84b	20.7	22.4	0.47159	0.22034	4.75	2.75
4689	APC	1.95	5	15.9	20	4.1	71cd84b	20.7	22.4	0.47159	0.22034	4.75	2.75
4689	APC	1.81	5	15.9	20	4.1	71cd84b	20.7	22.4	0.47159	0.22034	4.75	2.75
4689	APC	2.05	5	15.9	20	4.1	71cd84b	20.7	22.4	0.47159	0.22034	4.75	2.75
4699	AP	2.29	4	15.2	20.1	4.9	4991	21.4	21.4	0.19231	0.21687	2	1.75
4699	AP	2.33	4	15.2	20.1	4.9	4991	21.4	21.4	0.19231	0.21687	2	1.75
4699	AP	2.35	4	15.2	20.1	4.9	4991	21.4	21.4	0.19231	0.21687	2	1.75
4699	AP	2.25	4	15.2	20.1	4.9	4991	21.4	21.4	0.19231	0.21687	2	1.75
4700	W	3.3	4	17.5	27.2	9.7	NA	NA	NA	NA	NA	NA	NA
4700	W	3.4	4	17.5	27.2	9.7	NA	NA	NA	NA	NA	NA	NA
4700	W	3.23	4	17.5	27.2	9.7	NA	NA	NA	NA	NA	NA	NA
4700	W	3.22	4	17.5	27.2	9.7	NA	NA	NA	NA	NA	NA	NA
4725	AP	2.54	3	14.6	19.3	4.7	71cc2e8	27.7	26.1	0.55422	0.26804	6	2
4725	AP	2.76	3	14.6	19.3	4.7	71cc2e8	27.7	26.1	0.55422	0.26804	6	2
4725	AP	2.57	3	14.6	19.3	4.7	71cc2e8	27.7	26.1	0.55422	0.26804	6	2
4761	APC	2.3	2	16.9	27.1	10.2	3322	18.6	18.7	0.55621	0.41818	6	5.25
4761	APC	2.51	2	16.9	27.1	10.2	3322	18.6	18.7	0.55621	0.41818	6	5.25
4795	W	2.44	5	23.1	28.6	5.5	4650	23	23	0.58	0.67	6	5.75
4795	W	1.68	5	23.1	28.6	5.5	4650	23	23	0.58	0.67	6	5.75
4795	W	2.26	5	23.1	28.6	5.5	4650	23	23	0.58	0.67	6	5.75
4795	W	2.25	5	23.1	28.6	5.5	4650	23	23	0.58	0.67	6	5.75
4795	W	2.46	5	23.1	28.6	5.5	4650	23	23	0.58	0.67	6	5.75
4813	AP	2.44	3	22.6	20.5	-2.1	71ce815	21.5	19.6	0.54589	0.22892	5.75	3
4813	AP	2.48	3	22.6	20.5	-2.1	71ce815	21.5	19.6	0.54589	0.22892	5.75	3
4813	AP	2.58	3	22.6	20.5	-2.1	71ce815	21.5	19.6	0.54589	0.22892	5.75	3
4814	AP	2.77	6	17.9	25.4	7.5	71D0587	28.4	29.4	0.2619	0.4686	3.25	5
4814	AP	2.77	6	17.9	25.4	7.5	71D0587	28.4	29.4	0.2619	0.4686	3.25	5
4814	AP	2.71	6	17.9	25.4	7.5	71D0587	28.4	29.4	0.2619	0.4686	3.25	5
4814	AP	2.86	6	17.9	25.4	7.5	71D0587	28.4	29.4	0.2619	0.4686	3.25	5
4814	AP	2.72	6	17.9	25.4	7.5	71D0587	28.4	29.4	0.2619	0.4686	3.25	5
4814	AP	2.48	6	17.9	25.4	7.5	71D0587	28.4	29.4	0.2619	0.4686	3.25	5
4831	W	3.24	4	21.7	29.4	7.7	3306	17.9	18.8	0.46	0.3	4.75	1.5
4831	W	3.3	4	21.7	29.4	7.7	3306	17.9	18.8	0.46	0.3	4.75	1.5
4831	W	3.3	4	21.7	29.4	7.7	3306	17.9	18.8	0.46	0.3	4.75	1.5
4831	W	3.09	4	21.7	29.4	7.7	3306	17.9	18.8	0.46	0.3	4.75	1.5
4835	APC	2.17	5	17.6	23	5.4	4821	NA	NA	NA	NA	NA	NA
4835	APC	2.07	5	17.6	23	5.4	4821	NA	NA	NA	NA	NA	NA
4835	APC	2.03	5	17.6	23	5.4	4821	NA	NA	NA	NA	NA	NA
4835	APC	2.11	5	17.6	23	5.4	4821	NA	NA	NA	NA	NA	NA
4835	APC	1.91	5	17.6	23	5.4	4821	NA	NA	NA	NA	NA	NA
4838	W	2.43	4	17	19.5	2.5	4917	16.1	15.7	0.56	0.56	6	5.25
4838	W	2.48	4	17	19.5	2.5	4917	16.1	15.7	0.56	0.56	6	5.25
4838	W	2.26	4	17	19.5	2.5	4917	16.1	15.7	0.56	0.56	6	5.25
4838	W	2.2	4	17	19.5	2.5	4917	16.1	15.7	0.56	0.56	6	5.25
4865	AP	3.09	4	17.6	23.6	6	4647	23.8	23.8	0.071428571	0.02173913	0.25	0
4865	AP	2.86	4	17.6	23.6	6	4647	23.8	23.8	0.071428571	0.02173913	0.25	0
4865	AP	3.06	4	17.6	23.6	6	4647	23.8	23.8	0.071428571	0.02173913	0.25	0
4865	AP	2.78	4	17.6	23.6	6	4647	23.8	23.8	0.071428571	0.02173913	0.25	0
4905	W	2.46	5	14.7	20.5	5.8	4659	18.6	19.1	0.18471	0.06044	1.5	3
4905	W	2.36	5	14.7	20.5	5.8	4659	18.6	19.1	0.18471	0.06044	1.5	3
4905	W	2.31	5	14.7	20.5	5.8	4659	18.6	19.1	0.18471	0.06044	1.5	3
4905	W	2.27	5	14.7	20.5	5.8	4659	18.6	19.1	0.18471	0.06044	1.5	3
4905	W	2.36	5	14.7	20.5	5.8	4659	18.6	19.1	0.18471	0.06044	1.5	3
4906	C	2.63	5	18.4	21.7	3.3	4978	16.3	18.2	0.28804	0.24444	3.75	3.75
4906	C	2.7	5	18.4	21.7	3.3	4978	16.3	18.2	0.28804	0.24444	3.75	3.75
